x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
3.250000000000000111e-02,3.125000000000000173e-03,7.434578196580034160e+01,1.000000000000000036e-10,1.020844055062917468e-04,-1.033814000815425193e-05
3.416666666666667157e-02,3.125000000000000173e-03,7.259852730252481479e+01,1.000000000000000036e-10,1.079737784391855118e-04,-1.170276177023765629e-05
3.583333333333333509e-02,3.125000000000000173e-03,7.074665601782749036e+01,1.000000000000000036e-10,1.146394557723664061e-04,-1.302280321870454897e-05
3.750000000000000555e-02,3.125000000000000173e-03,6.877721211011260039e+01,1.000000000000000036e-10,1.220600206246268507e-04,-1.418373283111008847e-05
3.916666666666666907e-02,3.125000000000000173e-03,6.667798866367326127e+01,1.000000000000000036e-10,1.301475949676327232e-04,-1.500279646174191905e-05
4.083333333333333259e-02,3.125000000000000173e-03,6.443895894452484185e+01,1.000000000000000036e-10,1.386865788871636889e-04,-1.519483490340064390e-05
4.250000000000000305e-02,3.125000000000000173e-03,6.205510270076780444e+01,1.000000000000000036e-10,1.472284411083999768e-04,-1.437698737634946007e-05
4.416666666666666657e-02,3.125000000000000173e-03,5.953134424091150834e+01,1.000000000000000036e-10,1.549980348068028077e-04,-1.221719204459560397e-05
4.583333333333333703e-02,3.125000000000000173e-03,5.688850154054104280e+01,1.000000000000000036e-10,1.610392228372151254e-04,-8.841662900937022655e-06
4.750000000000000056e-02,3.125000000000000173e-03,5.416337014633766955e+01,1.000000000000000036e-10,1.648775344337865460e-04,-5.181943211084670724e-06
4.916666666666667102e-02,3.125000000000000173e-03,5.139258372608149017e+01,1.000000000000000036e-10,1.666786161728996151e-04,-1.689511535719816330e-06
5.083333333333333454e-02,3.125000000000000173e-03,4.860741627390768116e+01,1.000000000000000036e-10,1.666786161728996151e-04,1.689511535722374158e-06
5.250000000000000500e-02,3.125000000000000173e-03,4.583662985365150178e+01,1.000000000000000036e-10,1.648775344337852721e-04,5.181943211085807442e-06
5.416666666666666852e-02,3.125000000000000173e-03,4.311149845944817116e+01,1.000000000000000036e-10,1.610392228372127673e-04,8.841662900936453448e-06
5.583333333333333898e-02,3.125000000000000173e-03,4.046865575907774115e+01,1.000000000000000036e-10,1.549980348067996094e-04,1.221719204459560397e-05
5.750000000000000250e-02,3.125000000000000173e-03,3.794489729922151611e+01,1.000000000000000036e-10,1.472284411083950707e-04,1.437698737634946007e-05
