x_m,pressure_Pa,radius_m,velocity_m_s,flow_m3_s
2.274247491638795859e-01,2.786740589864576577e+03,2.027867405898645895e-03,5.112853925068617800e-01,6.605297264849690429e-06
2.290969899665551701e-01,2.770104769758560906e+03,2.027701047697585274e-03,5.113692904832015662e-01,6.605297264849690429e-06
2.307692307692307543e-01,2.753463488327954110e+03,2.027534634883279303e-03,5.114532366645406780e-01,6.605297264849690429e-06
2.324414715719063385e-01,2.736816741510841439e+03,2.027368167415108564e-03,5.115372310985122351e-01,6.605297264849690429e-06
2.341137123745819226e-01,2.720164525242404579e+03,2.027201645252424151e-03,5.116212738328069776e-01,6.605297264849690429e-06
2.357859531772575346e-01,2.703506835454914835e+03,2.027035068354549399e-03,5.117053649151729333e-01,6.605297264849690429e-06
2.374581939799331187e-01,2.686843668077733582e+03,2.026868436680777288e-03,5.117895043934166388e-01,6.605297264849690429e-06
2.391304347826087029e-01,2.670175019037309085e+03,2.026701750190373040e-03,5.118736923154018070e-01,6.605297264849690429e-06
2.408026755852842871e-01,2.653500884257174675e+03,2.026535008842571522e-03,5.119579287290508818e-01,6.605297264849690429e-06
2.424749163879598712e-01,2.636821259657946484e+03,2.026368212596579843e-03,5.120422136823438164e-01,6.605297264849690429e-06
2.441471571906354554e-01,2.620136141157320708e+03,2.026201361411573022e-03,5.121265472233200722e-01,6.605297264849690429e-06
2.458193979933110396e-01,2.603445524670072245e+03,2.026034455246700922e-03,5.122109294000755098e-01,6.605297264849690429e-06
2.474916387959866237e-01,2.586749406108052426e+03,2.025867494061080448e-03,5.122953602607660528e-01,6.605297264849690429e-06
2.491638795986622079e-01,2.570047781380185825e+03,2.025700477813802049e-03,5.123798398536049126e-01,6.605297264849690429e-06
2.508361204013377921e-01,2.553340646392468443e+03,2.025533406463924518e-03,5.124643682268650302e-01,6.605297264849690429e-06
2.525083612040133763e-01,2.536627997047965891e+03,2.025366279970479758e-03,5.125489454288765234e-01,6.605297264849690429e-06
2.541806020066889604e-01,2.519909829246813388e+03,2.025199098292468011e-03,5.126335715080295730e-01,6.605297264849690429e-06
2.558528428093645446e-01,2.503186138886206663e+03,2.025031861388862202e-03,5.127182465127723132e-01,6.605297264849690429e-06
2.575250836120401288e-01,2.486456921860408329e+03,2.024864569218604460e-03,5.128029704916121645e-01,6.605297264849690429e-06
2.591973244147157129e-01,2.469722174060740144e+03,2.024697221740607428e-03,5.128877434931159440e-01,6.605297264849690429e-06
2.608695652173912971e-01,2.452981891375580744e+03,2.024529818913755556e-03,5.129725655659085337e-01,6.605297264849690429e-06
2.625418060200668813e-01,2.436236069690367458e+03,2.024362360696903371e-03,5.130574367586744344e-01,6.605297264849690429e-06
2.642140468227424654e-01,2.419484704887589942e+03,2.024194847048875912e-03,5.131423571201575440e-01,6.605297264849690429e-06
2.658862876254180496e-01,2.402727792846790180e+03,2.024027277928468291e-03,5.132273266991611571e-01,6.605297264849690429e-06
2.675585284280936338e-01,2.385965329444558847e+03,2.023859653294445698e-03,5.133123455445479655e-01,6.605297264849690429e-06
2.692307692307692180e-01,2.369197310554535306e+03,2.023691973105545567e-03,5.133974137052395026e-01,6.605297264849690429e-06
2.709030100334448021e-01,2.352423732047401700e+03,2.023524237320474106e-03,5.134825312302180311e-01,6.605297264849690429e-06
