x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
5.750000000000000250e-02,1.625000000000000056e-02,3.326962062475867299e+01,9.999999999999999799e-13,2.727775129900713075e-06,-3.076813581882049131e-08
6.250000000000000000e-02,1.625000000000000056e-02,2.518511838429714444e+01,1.000000000000000036e-10,4.111899252849083409e-05,1.921026256715218468e-05
6.750000000000000444e-02,1.625000000000000056e-02,2.123330828472452581e+01,1.000000000000000036e-10,6.948474425732764311e-05,4.906158966802165596e-05
7.249999999999999500e-02,1.625000000000000056e-02,1.823664395856437892e+01,1.000000000000000036e-10,6.119277957816033307e-05,2.344691808205559848e-05
7.749999999999999944e-02,1.625000000000000056e-02,1.511403032690849102e+01,1.000000000000000036e-10,6.381298965938444990e-05,1.193960562758792745e-05
8.250000000000000389e-02,1.625000000000000056e-02,1.185534499262593222e+01,1.000000000000000036e-10,6.601721300406306558e-05,6.203514676823615307e-06
8.750000000000000833e-02,1.625000000000000056e-02,8.512309026502183684e+00,1.000000000000000036e-10,6.732828778985294619e-05,3.188932497604354739e-06
9.249999999999999889e-02,1.625000000000000056e-02,5.122516213640635918e+00,1.000000000000000036e-10,6.802522778277856035e-05,1.508164747887601102e-06
9.750000000000000333e-02,1.625000000000000056e-02,1.709786248224325789e+00,1.000000000000000036e-10,6.832302461864961048e-05,4.430594958128874272e-07
2.500000000000000052e-03,1.874999999999999931e-02,9.830043492279213524e+01,1.000000000000000036e-10,6.787244316220123440e-05,-3.537668775936708057e-07
7.499999999999999722e-03,1.874999999999999931e-02,9.491232076098773973e+01,1.000000000000000036e-10,6.738865242695595199e-05,-1.206663580547626543e-06
1.250000000000000069e-02,1.874999999999999931e-02,9.156156968009653951e+01,1.000000000000000036e-10,6.623121715672197654e-05,-2.563246033363952153e-06
1.750000000000000167e-02,1.874999999999999931e-02,8.828919904531554153e+01,1.000000000000000036e-10,6.394118829142455608e-05,-5.028649315519827373e-06
2.249999999999999917e-02,1.874999999999999931e-02,8.516745085095408285e+01,1.000000000000000036e-10,5.955413715014258770e-05,-9.818833745911204828e-06
2.750000000000000014e-02,1.874999999999999931e-02,8.233378533030128210e+01,1.000000000000000036e-10,5.054826172300209421e-05,-1.975464720954959921e-05
3.250000000000000111e-02,1.874999999999999931e-02,8.011262467865387293e+01,1.000000000000000036e-10,2.319775008982353091e-05,-4.322458706352022442e-05
3.749999999999999861e-02,1.874999999999999931e-02,7.513259963323918100e+01,9.999999999999999799e-13,1.893308625057357676e-06,-2.121685748504764162e-07
4.250000000000000305e-02,1.874999999999999931e-02,6.606094911616004595e+01,9.999999999999999799e-13,1.975534138741511632e-06,1.871700859702656185e-07
4.750000000000000056e-02,1.874999999999999931e-02,5.537725824582406631e+01,9.999999999999999799e-13,2.143820736198255644e-06,3.017278215777281518e-08
5.249999999999999806e-02,1.874999999999999931e-02,4.462274175417748978e+01,9.999999999999999799e-13,2.143820736198260726e-06,-3.017278215778844558e-08
5.750000000000000250e-02,1.874999999999999931e-02,3.393905088384146040e+01,9.999999999999999799e-13,1.975534138741529419e-06,-1.871700859702770005e-07
6.250000000000000000e-02,1.874999999999999931e-02,2.486740036676219745e+01,9.999999999999999799e-13,1.893308625057385840e-06,2.121685748504778191e-07
6.750000000000000444e-02,1.874999999999999931e-02,1.988737532134742736e+01,1.000000000000000036e-10,2.319775008982415094e-05,4.322458706352136284e-05
7.249999999999999500e-02,1.874999999999999931e-02,1.766621466969995780e+01,1.000000000000000036e-10,5.054826172300302934e-05,1.975464720955002611e-05
7.749999999999999944e-02,1.874999999999999931e-02,1.483254914904712329e+01,1.000000000000000036e-10,5.955413715014467479e-05,9.818833745910777924e-06
8.250000000000000389e-02,1.874999999999999931e-02,1.171080095468548876e+01,1.000000000000000036e-10,6.394118829142822881e-05,5.028649315519934099e-06
8.750000000000000833e-02,1.874999999999999931e-02,8.438430319904298926e+00,1.000000000000000036e-10,6.623121715672696387e-05,2.563246033363845851e-06
9.249999999999999889e-02,1.874999999999999931e-02,5.087679239012791399e+00,1.000000000000000036e-10,6.738865242696251141e-05,1.206663580547590968e-06
9.750000000000000333e-02,1.874999999999999931e-02,1.699565077208046615e+00,1.000000000000000036e-10,6.787244316220836303e-05,3.537668775944212769e-07
2.500000000000000052e-03,2.125000000000000153e-02,9.830790209565554960e+01,1.000000000000000036e-10,6.754280938957178866e-05,-2.281335224341773723e-07
7.499999999999999722e-03,2.125000000000000153e-02,9.493781696538727033e+01,1.000000000000000036e-10,6.692048820488706953e-05,-7.792409757416860548e-07
1.250000000000000069e-02,2.125000000000000153e-02,9.161585327516684174e+01,1.000000000000000036e-10,6.541729492236185548e-05,-1.660354361788449560e-06
1.750000000000000167e-02,2.125000000000000153e-02,8.839608747315108417e+01,1.000000000000000036e-10,6.238941914778591219e-05,-3.272588667157662782e-06
2.249999999999999917e-02,2.125000000000000153e-02,8.537691136038824880e+01,1.000000000000000036e-10,5.644999071236724057e-05,-6.411654605921340956e-06
