x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
1.312499999999999951e-02,6.250000000000000130e-04,3.330948545871701185e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.437500000000000062e-02,6.250000000000000130e-04,3.330966691863560527e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,6.250000000000000130e-04,3.330982798199668764e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.687500000000000111e-02,6.250000000000000130e-04,3.330997240966054846e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.812499999999999875e-02,6.250000000000000130e-04,3.331010305045186328e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.937499999999999986e-02,6.250000000000000130e-04,3.331022211190458506e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.062500000000000097e-02,6.250000000000000130e-04,3.331033133800350470e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.187500000000000208e-02,6.250000000000000130e-04,3.331043212964038958e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.312499999999999972e-02,6.250000000000000130e-04,3.331052562847573881e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.437500000000000083e-02,6.250000000000000130e-04,3.331061277669583660e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.562500000000000194e-02,6.250000000000000130e-04,3.331069436047018826e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.687499999999999958e-02,6.250000000000000130e-04,3.331077104213284201e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.812500000000000069e-02,6.250000000000000130e-04,3.331084338440829242e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.937500000000000180e-02,6.250000000000000130e-04,3.331091186892206224e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.062499999999999944e-02,6.250000000000000130e-04,3.331097691054268921e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.187500000000000056e-02,6.250000000000000130e-04,3.331103886863784282e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.312500000000000167e-02,6.250000000000000130e-04,3.331109805601610674e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.437500000000000278e-02,6.250000000000000130e-04,3.331115474611190166e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.562500000000000389e-02,6.250000000000000130e-04,3.331120917882030312e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.687499999999999806e-02,6.250000000000000130e-04,3.331126156528350748e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.812499999999999917e-02,6.250000000000000130e-04,3.331131209185422790e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
